#Channel Energy Counts
322 80.1255 249300
323 80.2973 251569
324 80.4692 254455
325 80.6411 256447
326 80.8129 258047
327 80.9848 260788
328 81.1566 264497
329 81.3285 266029
330 81.5004 269958
331 81.6722 272528
332 81.8441 276192
333 82.016 280326
334 82.1878 284010
335 82.3597 286864
336 82.5315 289772
337 82.7034 292591
338 82.8753 294162
339 83.0471 295854
340 83.219 296910
341 83.3909 298069
342 83.5627 297822
343 83.7346 299310
344 83.9064 300780
345 84.0783 299312
346 84.2502 300736
347 84.422 301858
348 84.5939 301847
349 84.7658 303460
350 84.9376 304471
351 85.1095 305201
352 85.2814 305323
353 85.4532 307225
354 85.6251 307544
355 85.7969 306775
356 85.9688 307341
357 86.1407 306801
358 86.3125 307718
359 86.4844 307520
360 86.6563 307954
361 86.8281 306652
362 87 307772
363 87.1718 308052
364 87.3437 307803
365 87.5156 308471
366 87.6874 309533
367 87.8593 309383
368 88.0312 309268
369 88.203 309205
370 88.3749 310014
371 88.5467 311449
372 88.7186 311225
373 88.8905 311387
374 89.0623 311697
375 89.2342 312463
376 89.4061 312276
377 89.5779 312415
378 89.7498 312734
379 89.9216 313907
380 90.0935 313954
381 90.2654 314286
382 90.4372 314253
383 90.6091 315001
384 90.781 314038
385 90.9528 316416
386 91.1247 316528
387 91.2966 315734
388 91.4684 317157
389 91.6403 317135
390 91.8121 316877
391 91.984 317749
392 92.1559 317553
393 92.3277 318652
394 92.4996 318651
395 92.6715 317911
396 92.8433 318064
397 93.0152 319942
398 93.187 320022
399 93.3589 321117
400 93.5308 321553
401 93.7026 321321
402 93.8745 321452
403 94.0464 322239
404 94.2182 322350
405 94.3901 322812
406 94.5619 323571
407 94.7338 324324
408 94.9057 324920
409 95.0775 324357
410 95.2494 325307
411 95.4213 325387
412 95.5931 326455
413 95.765 327171
414 95.9369 326242
415 96.1087 328563
416 96.2806 328211
417 96.4524 328064
418 96.6243 329347
419 96.7962 330047
420 96.968 330442
421 97.1399 330655
422 97.3118 331473
423 97.4836 332032
424 97.6555 332791
425 97.8273 333149
426 97.9992 333390
427 98.1711 334903
428 98.3429 335003
429 98.5148 336543
430 98.6867 335960
431 98.8585 337031
432 99.0304 338315
433 99.2022 338802
434 99.3741 338252
435 99.546 338167
436 99.7178 340623
437 99.8897 341803
438 100.062 342133
439 100.233 342837
440 100.405 343538
441 100.577 343595
442 100.749 343986
443 100.921 345346
444 101.093 346599
445 101.265 347245
446 101.436 347423
447 101.608 348629
448 101.78 349924
449 101.952 350631
450 102.124 350159
451 102.296 352017
452 102.468 352253
453 102.64 352738
454 102.811 353827
455 102.983 354635
456 103.155 356260
457 103.327 356380
458 103.499 357526
459 103.671 358202
460 103.843 358842
461 104.014 359237
462 104.186 360490
463 104.358 360558
464 104.53 362409
465 104.702 362462
466 104.874 362996
467 105.046 364834
468 105.217 365811
469 105.389 366054
470 105.561 366811
471 105.733 369199
472 105.905 368870
473 106.077 371168
474 106.249 372634
475 106.42 372761
476 106.592 373328
477 106.764 374754
478 106.936 374949
479 107.108 376708
480 107.28 377147
481 107.452 378943
482 107.624 379221
483 107.795 380814
484 107.967 380991
485 108.139 381640
486 108.311 383842
487 108.483 384008
488 108.655 385586
489 108.827 387003
490 108.998 386623
491 109.17 388408
492 109.342 389857
493 109.514 390859
494 109.686 392086
495 109.858 393350
496 110.03 393771
497 110.201 396126
498 110.373 397575
499 110.545 398372
500 110.717 399805
501 110.889 401628
502 111.061 402215
503 111.233 402765
504 111.405 405161
505 111.576 406274
506 111.748 408477
507 111.92 409069
508 112.092 411038
509 112.264 413425
510 112.436 414273
511 112.608 416536
512 112.779 417215
513 112.951 417646
514 113.123 419779
515 113.295 420824
516 113.467 422900
517 113.639 423784
518 113.811 427313
519 113.982 428548
520 114.154 430495
521 114.326 431755
522 114.498 434887
523 114.67 438287
524 114.842 441387
525 115.014 446354
526 115.185 453326
527 115.357 466139
528 115.529 486616
529 115.701 517595
530 115.873 564623
531 116.045 635744
532 116.217 740234
533 116.389 893881
534 116.56 1.10871e+06
535 116.732 1.40902e+06
536 116.904 1.81444e+06
537 117.076 2.34401e+06
538 117.248 3.01642e+06
539 117.42 3.83401e+06
540 117.592 4.7798e+06
541 117.763 5.81075e+06
542 117.935 6.86863e+06
543 118.107 7.85481e+06
544 118.279 8.67191e+06
545 118.451 9.25013e+06
546 118.623 9.49906e+06
547 118.795 9.40552e+06
548 118.966 8.96501e+06
549 119.138 8.24407e+06
550 119.31 7.31367e+06
551 119.482 6.27071e+06
552 119.654 5.21822e+06
553 119.826 4.21286e+06
554 119.998 3.3254e+06
555 120.17 2.57375e+06
556 120.341 1.96127e+06
557 120.513 1.48608e+06
558 120.685 1.12779e+06
559 120.857 864658
560 121.029 672940
561 121.201 535831
562 121.373 440306
563 121.544 376360
564 121.716 331754
565 121.888 300462
566 122.06 278775
567 122.232 263435
568 122.404 252749
569 122.576 245320
570 122.747 238038
571 122.919 231807
572 123.091 227662
573 123.263 223372
574 123.435 220612
575 123.607 218369
576 123.779 216690
577 123.95 214079
578 124.122 213561
579 124.294 211682
580 124.466 209846
581 124.638 209019
582 124.81 208959
583 124.982 207432
584 125.154 207121
585 125.325 205756
586 125.497 206453
587 125.669 205697
588 125.841 205161
589 126.013 204801
590 126.185 204543
591 126.357 205262
592 126.528 204464
593 126.7 204751
594 126.872 204603
595 127.044 203529
596 127.216 204525
597 127.388 204263
598 127.56 204428
599 127.731 204979
600 127.903 204039
601 128.075 203297
602 128.247 203924
603 128.419 203893
604 128.591 203327
605 128.763 203407
606 128.935 203753
607 129.106 203083
608 129.278 203818
609 129.45 203679
610 129.622 203210
611 129.794 202983
612 129.966 203268
613 130.138 202689
614 130.309 202738
615 130.481 203549
616 130.653 203041
617 130.825 202437
618 130.997 203086
619 131.169 202202
620 131.341 202945
621 131.512 202493
622 131.684 203512
623 131.856 202255
624 132.028 202111
625 132.2 202112
626 132.372 202934
627 132.544 202120
628 132.715 202760
629 132.887 202563
630 133.059 202713
631 133.231 202736
632 133.403 203057
633 133.575 202310
634 133.747 202194
635 133.919 202577
636 134.09 202720
637 134.262 202296
638 134.434 202724
639 134.606 202313
640 134.778 202098
641 134.95 202183
642 135.122 202237
643 135.293 201846
644 135.465 202099
645 135.637 201520
646 135.809 202051
647 135.981 202322
648 136.153 202065
649 136.325 201362
650 136.496 201836
651 136.668 201695
652 136.84 201673
653 137.012 202658
654 137.184 202170
655 137.356 202081
656 137.528 201166
657 137.7 202230
658 137.871 201498
659 138.043 202324
660 138.215 201354
661 138.387 202046
662 138.559 201437
663 138.731 201598
664 138.903 201924
665 139.074 202791
666 139.246 202440
667 139.418 202472
668 139.59 202441
669 139.762 202491
670 139.934 202536
671 140.106 204116
672 140.277 203453
673 140.449 203888
674 140.621 204224
675 140.793 204765
676 140.965 204517
677 141.137 204976
678 141.309 205717
679 141.48 205256
680 141.652 205688
681 141.824 206899
682 141.996 207837
683 142.168 208245
684 142.34 208583
685 142.512 210000
686 142.684 210067
687 142.855 211344
688 143.027 212913
689 143.199 214472
690 143.371 214917
691 143.543 216555
692 143.715 217059
693 143.887 218522
694 144.058 218791
695 144.23 219143
696 144.402 219504
697 144.574 219518
698 144.746 218619
699 144.918 218788
700 145.09 219046
701 145.261 218087
702 145.433 218335
703 145.605 217828
704 145.777 217054
705 145.949 217852
706 146.121 217523
707 146.293 217444
708 146.465 216293
709 146.636 217078
710 146.808 218340
711 146.98 217369
712 147.152 217630
713 147.324 216754
714 147.496 218127
715 147.668 219149
716 147.839 218356
717 148.011 218861
718 148.183 220160
719 148.355 219110
720 148.527 218464
721 148.699 219712
722 148.871 219246
723 149.042 219085
724 149.214 219613
725 149.386 220478
726 149.558 220270
727 149.73 220334
728 149.902 220412
729 150.074 219932
730 150.246 220376
731 150.417 219655
732 150.589 220262
733 150.761 220637
734 150.933 221127
735 151.105 220638
736 151.277 221100
737 151.449 221119
738 151.62 221286
739 151.792 220904
740 151.964 221110
741 152.136 221736
742 152.308 221871
743 152.48 221174
744 152.652 222199
745 152.823 222184
746 152.995 222145
747 153.167 221996
748 153.339 221800
