0.001,6345.26323
0.0010222,6104.63553
0.0010449,5866.82419
0.0010449,6212.37247
0.00115314,5183.8157
0.0012726,4298.13303
0.0012726,4353.66757
0.00135409,3849.73718
0.0014408,3400.17892
0.0014408,3461.88397
0.0015,3187.40713
0.002,1736.48019
0.003,704.33001
0.0035517,478.65888
0.0035517,1131.23384
0.00363859,1061.33013
0.0037276,993.27555
0.0037276,1407.58088
0.004,1181.90179
0.0043034,986.67161
0.0043034,1147.10473
0.005,788.81932
0.0051822,720.1346
0.0051822,763.59259
0.00536198,701.77746
0.005548,645.56482
0.005548,672.89134
0.006,556.7992
0.008,275.17525
0.01,158.51822
0.015,57.77292
0.0171663,41.27243
0.0171663,94.48863
0.02,62.7608
0.0209476,55.64503
0.0209476,78.01752
0.0213487,83.98118
0.0217574,70.82529
0.0217574,81.39448
0.03,36.44594
0.04,17.51778
0.05,9.91022
0.06,6.225
0.08,3.01122
0.1,1.73845
0.115606,1.2295
0.115606,4.32797
0.15,2.29719
0.2,1.15628
0.3,0.46873
0.4,0.26806
0.5,0.18423
0.6,0.141
0.8,0.09851
1.0,0.0779
1.25,0.06373
1.5,0.0562
2.0,0.04894
3.0,0.04376
4.0,0.04244
5.0,0.04252
6.0,0.04321
8.0,0.04539
10.0,0.04797
15.0,0.05436
20.0,0.05984
